"CODE","SPANISH","ENGLISH"
"A","TRACTO ALIMENTARIO Y METABOLISMO","ALIMENTARY TRACT AND METABOLISM"
"A01","PREPARADOS ESTOMATOLÓGICOS","STOMATOLOGICAL PREPARATIONS"
"A01A","PREPARADOS ESTOMATOLÓGICOS","STOMATOLOGICAL PREPARATIONS"
"A01AA","Agentes para la profilaxis de las caries","Caries prophylactic agents"
"A01AA01","fluoruro de sodio","sodium fluoride"
"A01AA02","monofluorfosfato de sodio","sodium monofluorophosphate"
"A01AA03","olaflur","olaflur"
"A01AA04","fluoruro de estaño","stannous fluoride"
"A01AA30","combinaciones","combinations"
"A01AA51","fluoruro de sodio, combinaciones","sodium fluoride, combinations"
"A01AB","Antiinfecciosos y antisépticos para el tratamiento oral local","Antiinfectives and antiseptics for local oral treatment"
"A01AB02","peróxido de hidrógeno","hydrogen peroxide"
"A01AB03","clorhexidina","chlorhexidine"
"A01AB04","amfotericina B","amphotericin B"
"A01AB05","polinoxilina","polynoxylin"
"A01AB06","domifeno","domiphen"
"A01AB07","oxiquinolina","oxyquinoline"
"A01AB08","neomicina","neomycin"
"A01AB09","miconazol","miconazole"
"A01AB10","natamicina","natamycin"
"A01AB11","varios","various"
"A01AB12","hexetidina","hexetidine"
"A01AB13","tetraciclina","tetracycline"
"A01AB14","cloruro de benzoxonio","benzoxonium chloride"
"A01AB15","tibezonio, ioduro de","tibezonium iodide"
"A01AB16","mepartricina","mepartricin"
"A01AB17","metronidazol","metronidazole"
"A01AB18","clotrimazol","clotrimazole"
"A01AB19","perborato de sodio","sodium perborate"
"A01AB21","clortetraciclina","chlortetracycline"
"A01AB22","doxiciclina","doxycycline"
"A01AB23","minociclina","minocycline"
"A01AC","Corticosteroides para tratamiento oral local","Corticosteroids for local oral treatment"
"A01AC01","triamcinolona","triamcinolone"
"A01AC02","dexametasona","dexamethasone"
"A01AC03","hidrocortisona","hydrocortisone"
"A01AC54","prednisolona, combinaciones","prednisolone, combinations"
"A01AD","Otros agentes para tratamiento oral local","Other agents for local oral treatment"
"A01AD01","epinefrina","epinephrine"
"A01AD02","bencidamina","benzydamine"
"A01AD05","ácido acetilsalicílico","acetylsalicylic acid"
"A01AD06","adrenalona","adrenalone"
"A01AD07","amlexanoxo","amlexanox"
"A01AD08","becaplermina","becaplermin"
"A01AD11","varios","various"
"A02","AGENTES PARA EL TRATAMIENTO DE ALTERACIONES CAUSADAS POR ÁCIDOS","DRUGS FOR ACID RELATED DISORDERS"
"A02A","ANTIÁCIDOS","ANTACIDS"
"A02AA","Compuestos de magnesio","Magnesium compounds"
"A02AA01","carbonato de magnesio","magnesium carbonate"
"A02AA02","óxido de magnesio","magnesium oxide"
"A02AA03","peróxido de magnesio","magnesium peroxide"
"A02AA04","hidróxido de magnesio","magnesium hydroxide"
"A02AA05","silicato de magnesio","magnesium silicate"
"A02AA10","combinaciones","combinations"
"A02AB","Compuestos de aluminio","Aluminium compounds"
"A02AB01","hidróxido de aluminio","aluminium hydroxide"
"A02AB02","algeldrato","algeldrate"
"A02AB03","fosfato de aluminio","aluminium phosphate"
"A02AB04","carbonato sódico de dihidroxialuminio","dihydroxialumini sodium carbonate"
"A02AB05","acetoacetato de aluminio","aluminium acetoacetate"
"A02AB06","aloglutamol","aloglutamol"
"A02AB07","glicinato de aluminio","aluminium glycinate"
"A02AB10","combinaciones","combinations"
"A02AC","Compuestos de calcio","Calcium compounds"
"A02AC01","carbonato de calcio","calcium carbonate"
"A02AC02","silicato de calcio","calcium silicate"
"A02AC10","combinaciones","combinations"
"A02AD","Combinaciones y complejos de compuesto de aluminio, calcio y magnesio","Combinations and complexes of aluminium, calcium and magnesium compounds"
"A02AD01","combinaciones de sales simples","ordinary salt combinations"
"A02AD02","magaldrato","magaldrate"
"A02AD03","almagato","almagate"
"A02AD04","hidrotalcita","hydrotalcite"
"A02AD05","almasilato","almasilate"
"A02AF","Antiácidos con carminativos","Antacids with antiflatulents"
"A02AF01","magaldrato y carminativos","magaldrate and antiflatulents"
"A02AF02","combinaciones de sales simples y carminativos","ordinary salt combinations and antiflatulents"
"A02AG","Antiácidos con antiespasmódicos","Antacids with antispasmodics"
"A02AH","Antiácidos con bicarbonato de sodio","Antacids with sodium bicarbonate"
"A02AX","Otras combinaciones con antiácidos","Antacids, other combinations"
"A02B","AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD)","DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)"
"A02BA","Antagonistas del receptor H2","H2-receptor antagonists"
"A02BA01","cimetidina","cimetidine"
"A02BA02","ranitidina","ranitidine"
"A02BA03","famotidina","famotidine"
"A02BA04","nizatidina","nizatidine"
"A02BA05","niperotidina","niperotidine"
"A02BA06","roxatidina","roxatidine"
"A02BA07","ranitidina y citrato de bismuto","ranitidine bismuth citrate"
"A02BA08","lafutidina","lafutidine"
"A02BA51","cimetidina, combinaciones","cimetidine, combinations"
"A02BA53","famotidina, combinaciones","famotidine, combinations"
"A02BB","Prostaglandinas","Prostaglandins"
"A02BB01","misoprostol","misoprostol"
"A02BB02","enprostilo","enprostil"
"A02BC","Inhibidores de la bomba de protones","Proton pump inhibitors"
"A02BC01","omeprazol","omeprazole"
"A02BC02","pantoprazol","pantoprazole"
"A02BC03","lansoprazol","lansoprazole"
"A02BC04","rabeprazol","rabeprazole"
"A02BC05","esomeprazol","esomeprazole"
"A02BC06","dexlansoprazol","dexlansoprazole"
"A02BD","Combinaciones para la erradicación del Helicobacter pylori","Combinations for eradication of Helicobacter pylori"
"A02BD01","omeprazol, amoxicilina y metronidazol","omeprazole, amoxicillin and metronidazole"
"A02BD02","lansoprazol, tetraciclinas y metronidazol","lansoprazole, tetracycline and metronidazole"
"A02BD03","lansoprazol, amoxicilina y metronidazol","lansoprazole, amoxicillin and metronidazole"
"A02BD04","pantoprazol, amoxicilina y claritromicina","pantoprazole, amoxicillin and clarithromycin"
"A02BD05","omeprazol, amoxicilina y claritromicina","omeprazole, amoxicillin and clarithromycin"
"A02BD06","esomeprazol, amoxicilina y claritromicina","esomeprazole, amoxicillin and clarithromycin"
"A02BD07","lansoprazol, amoxicilina y claritromicina","lansoprazole, amoxicillin and clarithromycin"
"A02BD08","subcitrato de bismuto, tetraciclina y metronidazol","bismuth subcitrate, tetracycline and metronidazole"
"A02BX","Otros agentes contra la úlcera péptica y el reflujo gastroesofágico (RGE/GORD)","Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)"
"A02BX01","carbenoxolona","carbenoxolone"
"A02BX02","sucralfato","sucralfate"
"A02BX03","pirenzepina","pirenzepine"
"A02BX04","cloruro de metiosulfonio","methiosulfonium chloride"
"A02BX05","subcitrato de bismuto","bismuth subcitrate"
"A02BX06","proglumida","proglumide"
"A02BX07","gefarnato","gefarnate"
"A02BX08","sulglicotida","sulglicotide"
"A02BX09","acetoxolona","acetoxolone"
"A02BX10","zolimidina","zolimidine"
"A02BX11","troxipida","troxipide"
"A02BX12","subnitrato de bismuto","bismuth subnitrate"
"A02BX13","ácido algínico","alginic acid"
